,Title,Date,Id,Summary,URL
12,Universal monoid actions: the power of freedom,2023-07-29 09:23:32+00:00,http://arxiv.org/abs/2307.15937v1,"Motivated by a recent work of Balcerzak and Kania [Proc. Amer. Math. Soc. 151
(2023) 3737--3742], we show that every countable monoid has a universal action
on the free object over a countable infinite set. This is a general result
concerning concrete categories with a left adjoint (free) functor. On the way,
we introduce an abstract concept of ``being generated by a set"". At the same
time we obtain a simpler proof of the result of Darji and Matheron concerning a
surjectively universal operator on the classical Banach space $\ell_1$ of
summable sequences.",http://arxiv.org/pdf/2307.15937v1
13,The Beauville-Voisin conjecture for double EPW sextics,2023-07-28 00:43:10+00:00,http://arxiv.org/abs/2307.15240v1,"We prove that the Beauville-Voisin conjecture is true for any double EPW
sextic, i.e. the subalgebra of the Chow ring generated by divisors and Chern
classes of the tangent bundle injects into cohomology.",http://arxiv.org/pdf/2307.15240v1
14,"Asymptotic approach to singular solutions for the CR Yamabe equation, and a conjecture by H. Brezis and L. A. Peletier in the Heisenberg group",2023-07-27 15:22:08+00:00,http://arxiv.org/abs/2307.14933v1,"We investigate some effects of the lack of compactness in the critical
Sobolev embedding by proving that a famous conjecture of Brezis & Peletier
(Essays in honor of Ennio De Giorgi -- Progr. Differ. Equ. Appl. 1989) does
still hold in the Heisenberg framework: optimal functions for a natural
subcritical approximations of the Sobolev quotient concentrate energy at one
point which can be localized via the Green function associated to the involved
domain and in clear accordance with the underlying sub-Riemannian geometry --
and consequently a new suitable definition of domains geometrical regular near
their characteristic set is given. In order to achieve the aforementioned
result, we need to combine proper estimates and tools to attack the related CR
Yamabe equation (Jerison & Lee, J. Diff. Geom. 1987) with novel feasible
ingredients in PDEs and Calculus of Variations which also aim to constitute
general independent results in the Heisenberg framework, as e.g. a fine
asymptotic control of the optimal functions via the Jerison & Lee extremals
realizing the equality in the critical Sobolev inequality (J. Amer. Math. Soc.
1988).",http://arxiv.org/pdf/2307.14933v1
15,Pre-Schwarzian and Schwarzian norm estimates for harmonic functions with fixed analytic part,2023-07-27 11:49:03+00:00,http://arxiv.org/abs/2307.14793v1,"In the present article, we discuss about the estimate of the pre-Schwarzian
and Schwarzian norms for locally univalent harmonic functions
$f=h+\overline{g}$ in the unit disk $\mathbb{D}:=\{z\in\mathbb{C}:\, |z|<1\}$.
In this regard, we first rectify an earlier result of Kanas \emph{et al.} [J.
Math. Anal. Appl., {\bf 474}(2) (2019), 931--943] and prove a general result
for the pre-Schwarzian norm. We also consider a new class $\mathcal{F}_0$
consisting of all harmonic functions $f=h+\overline{g}$ in the unit disk
$\mathbb{D}$ such that ${\rm Re\,}\left(1+z\frac{h''(z)}{h'(z)}\right)>0$ for
$z\in\mathbb{D}$ with dilatation $\omega_f(z)\in Aut(\mathbb{D})$ and obtain
best possible estimates of the pre-Schwarzian and Schwarzian norms for
functions in the class $\mathcal{F}_0$. Moreover, we obtain the distortion and
coefficient estimates of the co-analytic function $g$ when
$f=h+\overline{g}\in\mathcal{F}_0$.",http://arxiv.org/pdf/2307.14793v1
16,Quinpi: Integrating stiff hyperbolic systems with implicit high order finite volume schemes,2023-07-27 08:18:04+00:00,http://arxiv.org/abs/2307.14685v1,"Many interesting physical problems described by systems of hyperbolic
conservation laws are stiff, and thus impose a very small time-step because of
the restrictive CFL stability condition. In this case, one can exploit the
superior stability properties of implicit time integration which allows to
choose the time-step only from accuracy requirements, and thus avoid the use of
small time-steps. We discuss an efficient framework to devise high order
implicit schemes for stiff hyperbolic systems without tailoring it to a
specific problem. The nonlinearity of high order schemes, due to space- and
time-limiting procedures which control nonphysical oscillations, makes the
implicit time integration difficult, e.g.~because the discrete system is
nonlinear also on linear problems. This nonlinearity of the scheme is
circumvented as proposed in (Puppo et al., Comm.~Appl.~Math.~\& Comput., 2023)
for scalar conservation laws, where a first order implicit predictor is
computed to freeze the nonlinear coefficients of the essentially
non-oscillatory space reconstruction, and also to achieve limiting in time. In
addition, we propose a novel conservative flux-based a-posteriori time-limiting
procedure using numerical entropy indicators to detect troubled cells. The
numerical tests involve classical and artificially devised stiff problems using
the Euler's system of gas-dynamics.",http://arxiv.org/pdf/2307.14685v1
17,Denjoy Domains and BMOA,2023-07-27 05:39:14+00:00,http://arxiv.org/abs/2307.14631v1,"A Denjoy domain is a plane domain whose complement is a closed subset $E$ of
the extended real line $\bar{R}$ containing $\infty$ : such a domain is called
Carleson-homogeneous if there exists $C>0$ such that for all $z\in E$ and
$r>0$, one has $\vert E\cap [z-r,z+r]\vert\geq Cr$, where $\vert\cdot\vert$ is
the Lebesgue measure on the line. We prove that if $U=\bar{ \mathbb
C}\backslash K$ is a Carleson-homogeneous Denjoy domain then, if $f$ stands for
one of its universal coverings, $\log {f'}\in BMOA.$ In order to prove this
result, we develop ideas from
  [On Carleson measures induced by Beltrami coefficients being compatible with
Fuchsian groups, Ann. Fenn. Math. 46(2021),67-77] leading to a general theorem
about planar domains giving sufficient conditions ensuring that $\log {f'}\in
BMOA$ for any universal covering $f.$",http://arxiv.org/pdf/2307.14631v1
18,On the resolvent of $H+A^{*}+A$,2023-07-25 21:56:41+00:00,http://arxiv.org/abs/2307.13830v1,"We present a much shorter and streamlined proof of the results previously
given in [A. Posilicano: On the Self-Adjointness of $H+A^{*}+A$, Math. Phys.
Anal. Geom. (2020)] concerning the self-adjoint realizations of formal QFT-like
Hamiltonians of the kind $H+A^{*}+A$, where $H$ and $A$ play the role of the
free field Hamiltonian and of the annihilation operator respectively. We give
explicit representations of the resolvent and of the self-adjointness domain;
the consequent Krein-type resolvent formula leads to a characterization of
these self-adjoint realizations as limit (with respect to convergence in norm
resolvent sense) of cutoff Hamiltonians of the kind $H+A^{*}_{n}+A_{n}-E_{n}$,
the bounded operator $E_{n}$ playing the role of a renormalizing counter term.",http://arxiv.org/pdf/2307.13830v1
19,ARB: Advanced Reasoning Benchmark for Large Language Models,2023-07-25 17:55:19+00:00,http://arxiv.org/abs/2307.13692v2,"Large Language Models (LLMs) have demonstrated remarkable performance on
various quantitative reasoning and knowledge benchmarks. However, many of these
benchmarks are losing utility as LLMs get increasingly high scores, despite not
yet reaching expert performance in these domains. We introduce ARB, a novel
benchmark composed of advanced reasoning problems in multiple fields. ARB
presents a more challenging test than prior benchmarks, featuring problems in
mathematics, physics, biology, chemistry, and law. As a subset of ARB, we
introduce a challenging set of math and physics problems which require advanced
symbolic reasoning and domain knowledge. We evaluate recent models such as
GPT-4 and Claude on ARB and demonstrate that current models score well below
50% on more demanding tasks. In order to improve both automatic and assisted
evaluation capabilities, we introduce a rubric-based evaluation approach,
allowing GPT-4 to score its own intermediate reasoning steps. Further, we
conduct a human evaluation of the symbolic subset of ARB, finding promising
agreement between annotators and GPT-4 rubric evaluation scores.",http://arxiv.org/pdf/2307.13692v2
20,The homotopy category of monomorphisms between projective modules,2023-07-25 15:05:50+00:00,http://arxiv.org/abs/2307.13559v1,"Let $(S, \n)$ be a commutative noetherian local ring and $\omega\in\n$ be
non-zerodivisor. This paper deals with the behavior of the category
$\mon(\omega, \cp)$ consisting of all monomorphisms between finitely generated
projective $S$-modules with cokernels annihilated by $\omega$. We introduce a
homotopy category $\HT\mon(\omega, \cp)$, which is shown to be triangulated. It
is proved that this homotopy category embeds into the singularity category of
the factor ring $R=S/{(\omega)}$. As an application, not only the existence of
almost split sequences {ending at indecomposable non-projective objects of}
$\mon(\omega, \cp)$ is proven, but also the Auslander-Reiten translation,
$\tau_{\mon}(-)$, is completely recognized. Particularly, it will be observed
that any non-projective object of $\mon(\omega, \cp)$ with local endomorphism
ring is invariant under the square of the Auslander-Reiten translation.",http://arxiv.org/pdf/2307.13559v1
21,Weighted twisted inhomogeneous Diophantine approximation,2023-07-25 02:29:05+00:00,http://arxiv.org/abs/2307.13210v1,"We prove a multidimensional weighted analogue of the well-known theorem of
Kurzweil (1955) in the metric theory of inhomogeneous Diophantine
approximation. Let $A$ be matrix of real numbers, $\Psi$ an $n$-tuple of
monotonic decreasing functions, and let $W_{A}(\Psi)$ be the set of points that
infinitely often lie in a $\Psi(q)$-neighbourhood of the sequence
$\{Aq\}_{q\in\mathbb{N}}$. We prove that the set $ W_{A}(\Psi)$ has zero-full
Lebesgue measure under convergent-divergent sum conditions with some mild
assumptions on $A$ and the approximating functions $\Psi$. We also prove the
Hausdorff dimension results for this set. Along with some geometric arguments,
the main ingredients are weighted ubiquity and weighted mass transference
principle introduced recently by Kleinbock & Wang (Adv. Math. 2023), and Wang &
Wu (Math. Ann. 2021) respectively.",http://arxiv.org/pdf/2307.13210v1
22,Explaining Math Word Problem Solvers,2023-07-24 21:05:47+00:00,http://arxiv.org/abs/2307.13128v1,"Automated math word problem solvers based on neural networks have
successfully managed to obtain 70-80\% accuracy in solving arithmetic word
problems. However, it has been shown that these solvers may rely on superficial
patterns to obtain their equations. In order to determine what information math
word problem solvers use to generate solutions, we remove parts of the input
and measure the model's performance on the perturbed dataset. Our results show
that the model is not sensitive to the removal of many words from the input and
can still manage to find a correct answer when given a nonsense question. This
indicates that automatic solvers do not follow the semantic logic of math word
problems, and may be overfitting to the presence of specific words.",http://arxiv.org/pdf/2307.13128v1
23,A Note on the Binding Energy for Bosons in the Mean-field Limit,2023-07-24 20:11:18+00:00,http://arxiv.org/abs/2307.13115v1,"We consider a gas of N weakly interacting bosons in the ground state. Such
gases exhibit Bose-Einstein condensation. The binding energy is defined as the
energy it takes to remove one particle from the gas. In this article, we prove
an asymptotic expansion for the binding energy, and compute the first orders
explicitly for the homogeneous gas. Our result addresses in particular a
conjecture by Nam [Lett. Math. Phys., 108(1):141--159, 2018].",http://arxiv.org/pdf/2307.13115v1
24,"Four infinite families of chiral $3$-polytopes of type $\{4, 8\}$ with solvable automorphism groups",2023-07-23 02:19:42+00:00,http://arxiv.org/abs/2307.12999v1,"We construct four infinite families of chiral $3$-polytopes of type $\{4,
8\}$, with $1024m^4$, $2048m^4$, $4096m^4$ and $8192m^4$ automorphisms for
every positive integer $m$, respectively. The automorphism groups of these
polytopes are solvable groups, and when $m$ is a power of $2$, they provide
examples with automorphism groups of order $2^n$ where $n \geq 10$. (On the
other hand, no chiral polytopes of type $\{4, 8\}$ exist for $n \leq 9$.) In
particular, our families give a partial answer to a problem proposed by Schulte
and Weiss in [Problems on polytopes, their groups, and realizations, {\em
Period. Math. Hungar.} 53 (2006), 231-255] and a problem proposed by Pellicer
in [Developments and open problems on chiral polytopes, {\em Ars Math. Contemp}
5 (2012), 333-354].",http://arxiv.org/pdf/2307.12999v1
25,Algebraic structure and characteristic ideals of fine Mordell--Weil groups and plus/minus Mordell--Weil groups,2023-07-22 11:29:21+00:00,http://arxiv.org/abs/2307.12054v1,"Given an elliptic curve defined over a number field $F$, we study the
algebraic structure and prove a control theorem for Wuthrich's fine
Mordell--Weil groups over a $\mathbb{Z}_p$-extension of $F$, generalizing
results of Lee on the usual Mordell--Weil groups. In the case where
$F=\mathbb{Q}$, we show that the characteristic ideal of the Pontryagin dual of
the fine Mordell--Weil group over the cyclotomic $\mathbb{Z}_p$-extension
coincides with Greenberg's prediction for the characteristic ideal of the dual
fine Selmer group. If furthermore $E$ has good supersingular reduction at $p$
with $a_p(E)=0$, we generalize Wuthrich's fine Mordell--Weil groups to define
""plus and minus Mordell--Weil groups"". We show that the greatest common divisor
of the characteristic ideals of the Pontryagin duals of these groups coincides
with Kurihara--Pollack's prediction for the greatest common divisor of the plus
and minus $p$-adic $L$-functions.",http://arxiv.org/pdf/2307.12054v1
26,A remark on the characteristic elements of anticyclotomic Selmer groups of elliptic curves with complex multiplication at supersingular primes,2023-07-22 11:28:14+00:00,http://arxiv.org/abs/2307.12053v1,"Let $p\ge5$ be a prime number. Let $E/\mathbb{Q}$ be an elliptic curve with
complex multiplication by an imaginary quadratic field $K$ such that $p$ is
inert in $K$ and that $E$ has good reduction at $p$. Let $K_\infty$ be the
anticyclotomic $\mathbb{Z}_p$-extension of $K$. Agboola--Howard defined
Kobayashi-type signed Selmer groups of $E$ over $K_\infty$ and showed that
exactly one of them is cotorsion over the corresponding Iwasawa algebra. In
this short note, we discuss a link between the characteristic ideals of the
cotorsion signed Selmer group and the fine Selmer group building on a recent
breakthrough of Burungale--Kobayashi--Ota on the structure of local points.",http://arxiv.org/pdf/2307.12053v1
27,On Landau-Kato inequalities via semigroup orbits,2023-07-22 08:26:46+00:00,http://arxiv.org/abs/2307.12016v2,"Let $\omega>0$. Given a strongly continuous semigroup $\{e^{tA}\}$ on a
Banach space and an element $f\in\mathbf{D}(A^2)$ satisfying the exponential
orbital estimates $$\|e^{tA}f\|\leq e^{-\omega t}\|f\| \quad\text{and}\quad
\|e^{tA}A^2f\|\leq e^{-\omega t}\|A^2f\|,\quad t\geq0,$$ a dynamical inequality
for $\|Af\|$ in terms of $\|f\|$ and $\|A^2f\|$ was derived by Herzog and
Kunstmann (Studia Math., 2014). Here we provide an improvement of their result
by relaxing the exponential decay to quadratic, together with a simple and
direct way recovering the usual Landau inequality. Herzog and Kunstmann also
demanded an analogue, again via semigroup orbits, for the Kato type inequality
on Hilbert spaces. We provide such a result by using Hayashi-Ozawa machinery
[Proc. Amer. Math. Soc., (2017)] which in turn relies on Hilbertian geometry.",http://arxiv.org/pdf/2307.12016v2
28,The fractional free convolution of $R$-diagonal operators and random polynomials under repeated differentiation,2023-07-21 23:00:51+00:00,http://arxiv.org/abs/2307.11935v1,"We extend the free convolution of Brown measures of $R$-diagonal elements
introduced by K\""{o}sters and Tikhomirov [Probab. Math. Statist. 38 (2018), no.
2, 359--384] to fractional powers. We then show how this fractional free
convolution arises naturally when studying the roots of random polynomials with
independent coefficients under repeated differentiation. When the proportion of
derivatives to the degree approaches one, we establish central limit
theorem-type behavior and discuss stable distributions.",http://arxiv.org/pdf/2307.11935v1
29,Search for UHE Photons from Gravitational Wave Sources with the Pierre Auger Observatory,2023-07-20 12:59:53+00:00,http://arxiv.org/abs/2307.10839v1,"A search for time-directional coincidences of ultra-high-energy (UHE) photons
above 10 EeV with gravitational wave (GW) events from the LIGO/Virgo runs O1 to
O3 is conducted with the Pierre Auger Observatory. Due to the distinctive
properties of photon interactions and to the background expected from hadronic
showers, a subset of the most interesting GW events is selected based on their
localization quality and distance. Time periods of 1000 s around and 1 day
after the GW events are analyzed. No coincidences are observed. Upper limits on
the UHE photon fluence from a GW event are derived that are typically at
$\sim$7 MeV cm$^{-2}$ (time period 1000~s) and $\sim$35 MeV cm$^{-2}$ (time
period 1 day). Due to the proximity of the binary neutron star merger GW170817,
the energy of the source transferred into UHE photons above 40 EeV is
constrained to be less than 20% of its total gravitational wave energy. These
are the first limits on UHE photons from GW sources.",http://arxiv.org/pdf/2307.10839v1
30,Non-harmonic $M$-elliptic pseudo differential operators on manifolds,2023-07-20 12:38:26+00:00,http://arxiv.org/abs/2307.10825v1,"In this article, we introduce and study $M$-elliptic pseudo-differential
operators in the framework of non-harmonic analysis of boundary value problems
on a manifold $\Omega$ with boundary $\partial \Omega$, introduced by Ruzhansky
and Tokmagambetov ( Int. Math. Res. Not. IMRN, (12), 3548-3615, 2016) in terms
of a model operator $\mathfrak{L}$. More precisely, we consider a weighted
$\mathfrak{L}$-symbol class $M_{\rho, 0, \Lambda}^{m}, m\in \mathbb{R},$
associated to a suitable weight function $\Lambda$ on a countable set
$\mathcal{I} $ and study elements of the symbolic calculus for
pseudo-differential operators associated with $\mathfrak{L}$-symbol class
$M_{\rho, 0, \Lambda}^{m},$ by deriving formulae for the composition, adjoint,
and transpose. Using the notion of $M$-ellipticity for symbols belonging to
$\mathfrak{L}$-symbol class $M_{\rho, 0, \Lambda}^{m}$, we construct the
parametrix of $M$-elliptic pseudo-differential operators. Further, we
investigate the minimal and maximal extensions for $M$-elliptic
pseudo-differential operators and show that they coincide when the symbol
$\sigma\in M_{\rho, 0, \Lambda}^{m}, $ is $M$-elliptic. We provide a necessary
and sufficient condition to ensure that the pseudo-differential operators
$T_{\sigma}$ with symbol in the $\mathfrak{L}$-symbol class $M_{\rho,
0,\Lambda}^{0} $ is a compact operator in $L^{2}(\Omega)$ or a Riesz operator
in $L^{p}(\Omega).$ Finally, we prove G\""arding's inequality for
pseudo-differential operators associated with symbol from $M_{\rho,
0,\Lambda}^{0} $ in the setting of non-harmonic analysis.",http://arxiv.org/pdf/2307.10825v1
31,Remark on the ill-posedness for KdV-Burgers equation in Fourier amalgam spaces,2023-07-20 05:42:40+00:00,http://arxiv.org/abs/2307.10599v1,"We have established (a weak form of) ill-posedness for the KdV-Burgers
equation on a real line in Fourier amalgam spaces $\widehat{w}_s^{p,q}$ with
$s<-1$. The particular case $p=q=2$ recovers the result of L. Molinet and F.
Ribaud [Int. Math. Res. Not., (2002), pp. 1979-2005]. The result is new even in
Fourier Lebesgue space $\mathcal{F}L_s^q$ which corresponds to the case
$p=q(\neq 2)$ and in modulation space $M_s^{2,q}$ which corresponds to the case
$p=2,q\neq 2$.",http://arxiv.org/pdf/2307.10599v1
